RX,RZ
-2.055899999999994,148.6135
7.549400000000006,18.165499999999994
-14.943799999999996,149.4279
2.7091999999999956,-71.65200000000002
3.335800000000006,116.824
0.3585000000000065,257.79200000000003
-4.8337999999999965,185.7961
-0.5905000000000058,104.5428
4.5416000000000025,-41.620000000000005
-27.7607,22.835300000000004
1.1214999999999975,85.27129
7.247000000000014,55.9012
-32.1126,43.9354
-2.7653999999999996,226.966
4.107399999999998,83.08909
-17.589699999999993,154.5472
7.613399999999999,-17.422999999999988
-4.278499999999994,218.71
4.462299999999999,-51.774
1.7108999999999952,-85.481
0.34269999999999357,197.11700000000002
-2.627899999999997,248.187
-11.133700000000005,128.5856
-1.279200000000003,163.32659999999998
1.6633000000000067,124.04599999999999
-0.8277999999999963,106.6782
-0.8472000000000008,243.309
-5.2446000000000055,211.45100000000002
-4.414500000000004,179.95999999999998
-0.256299999999996,153.0796
0.24039999999999395,116.92920000000001
8.536199999999994,-15.817999999999998
-12.360799999999998,33.966
10.50200000000001,16.597099999999998
-9.089299999999994,66.8591
11.75399999999999,49.2204
3.027699999999996,80.01466
62.860000000000014,-81.48500000000001
64.36000000000001,-69.513
3.4838000000000022,51.7947
5.503799999999998,22.999899999999997
5.0686000000000035,-13.207000000000008
3.231099999999998,-40.75399999999999
1.2395999999999958,-65.08500000000001
3.6555000000000035,-58.572
